chr,start,stop,CpG_count,mean_group1,mean_group2,logFC,logCPM,PValue,FDR,fold_change
chr1,3780001,3780500,21,16.5,2.5,1.97707024786834,1.36609244878907,0.00111896284230236,0.042244195419431,3.93692778079617
chr1,7492501,7493000,26,30.5,3,2.61969396044699,2.0617268020827,8.61674567510779e-6,0.00626755523960233,6.14619679134344
chr1,7493001,7493500,25,51,5.5,2.50611670525363,2.74037085341171,3.8059639083824e-7,0.00101089767861199,5.68088896495015
chr1,7766501,7767000,6,4.5,11,-1.96095238210662,1.15283934865769,5.3847666330657e-4,0.029818069377163,0.256858837641191
chr1,7933001,7933500,14,19,2.5,2.18187908921258,1.51299598130881,6.1092893925983e-4,0.0332296418298876,4.53744164549091
chr1,8593501,8594000,4,2.5,8,-2.31632267984283,0.721001592347713,8.6570265407353e-4,0.0375689514448215,0.200778587099777
chr1,9793001,9793500,19,16.5,2.5,1.9737442170584,1.36275736669227,9.0646919322598e-4,0.0375689514448215,3.92786192815295
chr1,10602501,10603000,7,2.5,8,-2.31579994978062,0.723140032036042,9.5738305310524e-4,0.0375689514448215,0.200851348159042
chr1,16622501,16623000,18,35,3,2.79780078597674,2.21574980955457,4.18882218960651e-9,5.20486675170798e-5,6.95379620198671
chr1,16728501,16729000,15,2.5,8,-2.31580000287742,0.723140032036042,9.5736872557504e-4,0.0375689514448215,0.200851340766931
chr1,17058001,17058500,15,17,2.5,2.01781068938236,1.39633101660924,0.00133083108938928,0.0468148723918073,4.04968779401343
chr1,21273501,21274000,12,17,2.5,2.01697445940153,1.39566048802411,0.001200937811076,0.0450936922553617,4.04734115179914
chr1,33709501,33710000,8,3.5,11,-2.30985863471101,1.07794578390927,1.9354719298074e-4,0.0214969026490991,0.201680200865411
chr1,33764501,33765000,2,5.5,12,-1.80342070299872,1.29570514875844,9.4888517307432e-4,0.0375689514448215,0.286494489850157
chr1,34298001,34298500,4,4,10,-1.98972556135683,1.03514802231027,6.733764545022e-4,0.0354058278541578,0.25178677944439
chr1,36336501,36337000,19,20.5,2.5,2.28502696951778,1.593116108928,7.22578161826145e-5,0.0141074087975906,4.87373216264384
chr1,37850501,37851000,5,9.5,16.5,-1.48935795546492,1.77621752412543,2.717380999464e-4,0.0221995249485186,0.356171020907717
chr1,39989501,39990000,10,20.5,2.5,2.27666760525598,1.58856270919296,3.4258010647646e-4,0.0258622574211189,4.84557410019547
chr1,40218001,40218500,3,5.5,12,-1.80469092094606,1.29501061227175,7.5825031903543e-4,0.0375689514448215,0.286242357363797
chr1,41599501,41600000,6,8,17,-1.77567100358834,1.73325209643519,3.64135913924381e-5,0.0130507276524771,0.292058442924377
chr1,45949501,45950000,4,3,9.5,-2.31009925270745,0.911937276960517,5.3508096666042e-4,0.0297607045315696,0.201646566703047
chr1,47443501,47444000,24,28,4.5,1.90731268610059,2.02146515493305,3.06197679888738e-5,0.0122369044545199,3.75109730114078
chr1,52367001,52367500,15,21,2.5,2.33362076173275,1.62077833226497,2.2219821002176e-4,0.0217239916706777,5.04068835681913
chr1,58693001,58693500,3,4,9.5,-1.91533720305587,0.994374918023686,9.1693449057221e-4,0.0375689514448215,0.265109963590953
chr1,61044501,61045000,6,4.5,13,-2.20017434598643,1.29705242033118,8.24988185568414e-5,0.0149461258298752,0.217611341463835
chr1,63745501,63746000,4,3.5,9.5,-2.10211181809697,0.952701858020413,0.00139200092276234,0.0476049343097729,0.232917054064535
chr1,64334501,64335000,4,3.5,11.5,-2.37058386482567,1.11792069714094,2.3816184529034e-4,0.0217239916706777,0.193367351764707
chr1,64969501,64970000,6,2.5,8,-2.31621878886922,0.721707585381221,8.5888038110361e-4,0.0375689514448215,0.200793046034873
chr1,67948001,67948500,2,7,13,-1.57986318893451,1.4541368497165,9.4806272481996e-4,0.0375689514448215,0.334513609186379
chr1,67977501,67978000,4,2.5,8,-2.31618039467457,0.723120441178209,8.5888038110361e-4,0.0375689514448215,0.200798389776731
chr1,69450001,69450500,6,4.5,11.5,-2.02479093718743,1.1902248791605201,5.6352280919363e-4,0.0308579585640042,0.245740757668681
chr1,70225001,70225500,4,4,10.5,-2.0582681951752,1.0776212550986,8.9459648484345e-4,0.0375689514448215,0.240104076796481
chr1,78045501,78046000,28,20.5,3.5,1.81460660578423,1.64664990290036,6.1875794225655e-4,0.0335487341158451,3.5176369833274
chr1,79334001,79334500,7,5.5,12.5,-1.86311254075518,1.32968891279115,4.7567056267043e-4,0.0281127206952951,0.274882593641354
chr1,83603001,83603500,2,3,9,-2.23421606044892,0.866691135594642,6.6850122310863e-4,0.0351595086219071,0.212536707775727
chr1,85145001,85145500,3,4.5,13,-2.2000640117654102,1.29701364235825,7.97100512788602e-5,0.0146893623099335,0.217627984548689
chr1,87382501,87383000,5,4,11,-2.12489284917482,1.1155362586438,1.9354719298074e-4,0.0214969026490991,0.229268038202332
chr1,87869001,87869500,4,5,11.5,-1.87736544399085,1.22496489192202,5.118616161639e-4,0.028919031002322,0.272180300069644
chr1,89225501,89226000,7,2.5,8,-2.31618039467457,0.723120441178209,8.5888038110361e-4,0.0375689514448215,0.200798389776731
