"chr","start","end","logFC","FDR","fold_change","annotation","SYMBOL","GENENAME","direction","Category"
"chr7",157558001,157558500,7.45215632133228,1.32343098053873e-07,175.114692194788,"Intron (ENST00000389413.7/5799, intron 20 of 21)","MIR153-2","microRNA 153-2","Hypermethylated","Top_Hypermethylated"
"chr1",8553001,8553500,7.42512428327679,2.44765610068447e-07,171.864085225272,"Intron (ENST00000337907.7/473, intron 7 of 23)","RERE","arginine-glutamic acid dipeptide repeats","Hypermethylated","Top_Hypermethylated"
"chr17",1883501,1884000,7.39756889426523,0.000144956441105987,168.61264151014,"Exon (ENST00000254719.10/6117, exon 13 of 17)","RPA1","replication protein A1","Hypermethylated","Top_Hypermethylated"
"chr7",156067001,156067500,7.33450653934219,9.85788050758539e-06,161.40109311872,"Distal Intergenic","LOC124901789","uncharacterized LOC124901789","Hypermethylated","Top_Hypermethylated"
"chr17",82750001,82750500,7.3178493832068,6.1694929203597e-06,159.548295218614,"Promoter (1-2kb)","TBCD","tubulin folding cofactor D","Hypermethylated","Top_Hypermethylated"
"chr20",61686501,61687000,7.3178491607659,6.1694929203597e-06,159.548270618776,"Intron (ENST00000614565.5/1002, intron 2 of 15)","LOC100128310","uncharacterized LOC100128310","Hypermethylated","Top_Hypermethylated"
"chr1",3181001,3181500,7.25442159529575,0.000574986793940307,152.685748127799,"Intron (ENST00000511072.5/63976, intron 1 of 15)","MIR4251","microRNA 4251","Hypermethylated","Top_Hypermethylated"
"chr4",1202001,1202500,7.25310605392623,2.24349635751805e-06,152.546582982121,"Promoter (<=1kb)","LOC100130872","uncharacterized LOC100130872","Hypermethylated","Top_Hypermethylated"
"chr16",67592501,67593000,7.22968148582116,2.37877057202947e-05,150.089733451676,"Intron (ENST00000646076.1/10664, intron 3 of 12)","CTCF","CCCTC-binding factor","Hypermethylated","Top_Hypermethylated"
"chr1",209771001,209771500,7.20708159412918,0.000148878022860342,147.756889853937,"Intron (ENST00000400959.7/80342, intron 8 of 13)","TRAF3IP3","TRAF3 interacting protein 3","Hypermethylated","Top_Hypermethylated"
"chr5",14498001,14498500,7.19076947442109,7.28271711144918e-06,146.095656291669,"Promoter (<=1kb)","TRIO","trio Rho guanine nucleotide exchange factor","Hypermethylated","Top_Hypermethylated"
"chr8",62144001,62144500,7.19067660791148,7.35898422778699e-06,146.086252393669,"Exon (ENST00000518921.1/ENST00000518921.1, exon 1 of 1)","NKAIN3","sodium/potassium transporting ATPase interacting 3","Hypermethylated","Top_Hypermethylated"
"chr6",150370001,150370500,7.15872348223179,1.13201168969733e-05,142.886269853278,"Promoter (<=1kb)","IYD","iodotyrosine deiodinase","Hypermethylated","Top_Hypermethylated"
"chr1",16629501,16630000,7.15858100827179,1.12880708374464e-05,142.872159755897,"Promoter (<=1kb)","LOC124900584","rootletin-like","Hypermethylated","Top_Hypermethylated"
"chr3",194609001,194609500,7.12569585765098,1.91243511119995e-05,139.65233229559,"Intron (ENST00000392432.6/93109, intron 9 of 10)","TMEM44","transmembrane protein 44","Hypermethylated","Top_Hypermethylated"
"chr2",154699001,154699500,7.12277648004642,3.88192740781583e-05,139.370023382309,"Promoter (<=1kb)","KCNJ3","potassium inwardly rectifying channel subfamily J member 3","Hypermethylated","Top_Hypermethylated"
"chr17",48578501,48579000,7.09198393152765,1.91243511119995e-05,136.426862710899,"Promoter (<=1kb)","HOXB4","homeobox B4","Hypermethylated","Top_Hypermethylated"
"chr19",3663501,3664000,7.09194562905841,3.24624875580372e-05,136.423240728291,"Intron (ENST00000679885.1/23396, intron 3 of 18)","PIP5K1C","phosphatidylinositol-4-phosphate 5-kinase type 1 gamma","Hypermethylated","Top_Hypermethylated"
"chr17",4722001,4722500,7.05748502319407,3.24624875580372e-05,133.203208502264,"Distal Intergenic","ARRB2","arrestin beta 2","Hypermethylated","Top_Hypermethylated"
"chr9",134801001,134801500,7.05744671801911,3.24624875580372e-05,133.199671854305,"Intron (ENST00000371817.8/1289, intron 37 of 65)","COL5A1","collagen type V alpha 1 chain","Hypermethylated","Top_Hypermethylated"
"chr7",101240001,101240500,7.02212131599003,5.20486675170798e-05,129.977790262882,"3' UTR","FIS1","fission, mitochondrial 1","Hypermethylated","Top_Hypermethylated"
"chr20",62906001,62906500,7.02212131599003,5.20486675170798e-05,129.977790262882,"Exon (ENST00000266070.8/11083, exon 6 of 16)","DIDO1","death inducer-obliterator 1","Hypermethylated","Top_Hypermethylated"
