"Category","Metric","Value"
"Sample_Size_Context","Total_DEGs","7581"
"Sample_Size_Context","Upregulated_DEGs","3721"
"Sample_Size_Context","Downregulated_DEGs","3860"
"Sample_Size_Context","GeneBody_DMRs_Total","17783"
"Sample_Size_Context","GeneBody_DMRs_Hypermethylated","16097"
"Sample_Size_Context","GeneBody_DMRs_Hypomethylated","1686"
"Sample_Size_Context","GeneBody_Hyper_Percent","90.5%"
"Sample_Size_Context","Promoter_DMRs_Total","5827"
"Sample_Size_Context","Promoter_DMRs_Hypermethylated","5642"
"Sample_Size_Context","Promoter_DMRs_Hypomethylated","185"
"Sample_Size_Context","Promoter_Hyper_Percent","96.8%"
"Sample_Size_Context","CAUTION","91% of DMRs are hypermethylated - direction analysis is biased"
"GeneBody_AllMatched","N_genes","6364"
"GeneBody_AllMatched","Pearson_r","0.0813"
"GeneBody_AllMatched","Pearson_pvalue","8.32e-11"
"GeneBody_AllMatched","Pearson_95CI_low","0.0568"
"GeneBody_AllMatched","Pearson_95CI_high","0.1057"
"GeneBody_AllMatched","Spearman_rho","0.0632"
"GeneBody_AllMatched","Spearman_pvalue","4.45e-07"
"GeneBody_AllMatched","Effect_size_interpretation","Negligible"
"GeneBody_DEGs","N_genes","1544"
"GeneBody_DEGs","Pearson_r","0.1548"
"GeneBody_DEGs","Pearson_pvalue","9.76e-10"
"GeneBody_DEGs","Pearson_95CI_low","0.1057"
"GeneBody_DEGs","Pearson_95CI_high","0.2031"
"GeneBody_DEGs","Spearman_rho","0.1545"
"GeneBody_DEGs","Spearman_pvalue","1.04e-09"
"GeneBody_DEGs","Effect_size_interpretation","Small"
"GeneBody_Upregulated","N_genes","697"
"GeneBody_Upregulated","Pearson_r","-0.0077"
"GeneBody_Upregulated","Pearson_pvalue","8.4e-01"
"GeneBody_Upregulated","Pearson_95CI_low","-0.0819"
"GeneBody_Upregulated","Pearson_95CI_high","0.0666"
"GeneBody_Upregulated","Spearman_rho","-0.0481"
"GeneBody_Upregulated","Spearman_pvalue","2.05e-01"
"GeneBody_Upregulated","Effect_size_interpretation","Negligible"
"GeneBody_Downregulated","N_genes","847"
"GeneBody_Downregulated","Pearson_r","0.1836"
"GeneBody_Downregulated","Pearson_pvalue","7.35e-08"
"GeneBody_Downregulated","Pearson_95CI_low","0.1177"
"GeneBody_Downregulated","Pearson_95CI_high","0.2479"
"GeneBody_Downregulated","Spearman_rho","0.1806"
"GeneBody_Downregulated","Spearman_pvalue","1.22e-07"
"GeneBody_Downregulated","Effect_size_interpretation","Small"
"Promoter_AllMatched","N_genes","3282"
"Promoter_AllMatched","Pearson_r","0.0649"
"Promoter_AllMatched","Pearson_pvalue","2e-04"
"Promoter_AllMatched","Pearson_95CI_low","0.0307"
"Promoter_AllMatched","Pearson_95CI_high","0.0989"
"Promoter_AllMatched","Spearman_rho","0.0396"
"Promoter_AllMatched","Spearman_pvalue","2.32e-02"
"Promoter_AllMatched","Effect_size_interpretation","Negligible"
"Promoter_DEGs","N_genes","710"
"Promoter_DEGs","Pearson_r","0.1423"
"Promoter_DEGs","Pearson_pvalue","1.42e-04"
"Promoter_DEGs","Pearson_95CI_low","0.0694"
"Promoter_DEGs","Pearson_95CI_high","0.2136"
"Promoter_DEGs","Spearman_rho","0.1218"
"Promoter_DEGs","Spearman_pvalue","1.15e-03"
"Promoter_DEGs","Effect_size_interpretation","Small"
"Promoter_Upregulated","N_genes","325"
