"Category","Metric","Value"
"Overview","Total_genes_analyzed","33968"
"Overview","Total_DEGs","7581"
"Overview","Upregulated_DEGs","3721"
"Overview","Downregulated_DEGs","3860"
"Overview","Unchanged_genes","26387"
"Overview","Total_DMRs","31905"
"Promoter_DMRs","Total_promoter_DMRs","5827"
"Promoter_DMRs","Unique_genes_with_promoter_DMRs","3771"
"Promoter_DMRs","Genes_matched_to_expression","3282"
"Promoter_DMRs","DEGs_with_promoter_DMRs","710"
"Promoter_DMRs","Upregulated_DEGs_with_promoter_DMRs","325"
"Promoter_DMRs","Downregulated_DEGs_with_promoter_DMRs","385"
"Promoter_DMRs","Pct_DEGs_with_promoter_DMRs","9.4%"
"Direction_Analysis","Hypermethylated_Downregulated","362"
"Direction_Analysis","Hypermethylated_Upregulated","321"
"Direction_Analysis","Hypomethylated_Downregulated","23"
"Direction_Analysis","Hypomethylated_Upregulated","4"
"Direction_Analysis","Pct_Hypermethylated_that_are_Down","53.0%"
"Direction_Analysis","Pct_Hypermethylated_that_are_Up","47.0%"
"Direction_Analysis","Fisher_OR_HyperDown_vs_HyperUp","0.196"
"Direction_Analysis","Fisher_pvalue","1.18e-03"
"Correlation_TSS5kb_AllGenes","N_genes","33946"
"Correlation_TSS5kb_AllGenes","Pearson_r","0.0449"
"Correlation_TSS5kb_AllGenes","Pearson_pvalue","1.21e-16"
"Correlation_TSS5kb_AllGenes","Spearman_rho","0.0383"
"Correlation_TSS5kb_AllGenes","Spearman_pvalue","1.76e-12"
"Correlation_TSS5kb_DEGs","N_genes","7581"
"Correlation_TSS5kb_DEGs","Pearson_r","0.1186"
"Correlation_TSS5kb_DEGs","Pearson_pvalue","3.67e-25"
"Correlation_TSS5kb_DEGs","Spearman_rho","0.1329"
"Correlation_TSS5kb_DEGs","Spearman_pvalue","3.08e-31"
"Correlation_TSS5kb_Upregulated","N_genes","3721"
"Correlation_TSS5kb_Upregulated","Pearson_r","0.0215"
"Correlation_TSS5kb_Upregulated","Pearson_pvalue","1.9e-01"
"Correlation_TSS5kb_Upregulated","Spearman_rho","0.0205"
"Correlation_TSS5kb_Upregulated","Spearman_pvalue","2.1e-01"
"Correlation_TSS5kb_Downregulated","N_genes","3860"
"Correlation_TSS5kb_Downregulated","Pearson_r","0.1405"
"Correlation_TSS5kb_Downregulated","Pearson_pvalue","1.82e-18"
"Correlation_TSS5kb_Downregulated","Spearman_rho","0.1389"
"Correlation_TSS5kb_Downregulated","Spearman_pvalue","4.26e-18"
"Correlation_Promoter_AllGenes","N_genes","3282"
"Correlation_Promoter_AllGenes","Pearson_r","0.0649"
"Correlation_Promoter_AllGenes","Pearson_pvalue","2e-04"
"Correlation_Promoter_AllGenes","Spearman_rho","0.0396"
"Correlation_Promoter_AllGenes","Spearman_pvalue","2.32e-02"
"Correlation_Promoter_DEGs","N_genes","710"
"Correlation_Promoter_DEGs","Pearson_r","0.1423"
"Correlation_Promoter_DEGs","Pearson_pvalue","1.42e-04"
"Correlation_Promoter_DEGs","Spearman_rho","0.1218"
"Correlation_Promoter_DEGs","Spearman_pvalue","1.15e-03"
"Correlation_Promoter_Upregulated","N_genes","325"
"Correlation_Promoter_Upregulated","Pearson_r","0.0336"
"Correlation_Promoter_Upregulated","Pearson_pvalue","5.46e-01"
"Correlation_Promoter_Upregulated","Spearman_rho","0.0446"
"Correlation_Promoter_Upregulated","Spearman_pvalue","4.23e-01"
"Correlation_Promoter_Downregulated","N_genes","385"
"Correlation_Promoter_Downregulated","Pearson_r","0.0996"
"Correlation_Promoter_Downregulated","Pearson_pvalue","5.07e-02"
"Correlation_Promoter_Downregulated","Spearman_rho","0.1474"
"Correlation_Promoter_Downregulated","Spearman_pvalue","3.75e-03"
"Methylation_by_Expression","N_downregulated","3860"
"Methylation_by_Expression","Mean_meDIP_delta_downregulated","-0.8872"
"Methylation_by_Expression","Median_meDIP_delta_downregulated","-0.8507"
"Methylation_by_Expression","N_unchanged","26365"
"Methylation_by_Expression","Mean_meDIP_delta_unchanged","0.1707"
"Methylation_by_Expression","Median_meDIP_delta_unchanged","0.1122"
"Methylation_by_Expression","N_upregulated","3721"
"Methylation_by_Expression","Mean_meDIP_delta_upregulated","7e-04"
"Methylation_by_Expression","Median_meDIP_delta_upregulated","0"
"Methylation_by_Expression","Wilcoxon_Up_vs_Down_pvalue","2.06e-19"
"GeneBody_DMRs","Total_genebody_DMRs","17783"
"GeneBody_DMRs","Unique_genes_with_genebody_DMRs","7631"
"GeneBody_DMRs","DEGs_with_genebody_DMRs","1544"
"Correlation_GeneBody_DEGs","N_genes","1544"
"Correlation_GeneBody_DEGs","Pearson_r","0.1548"
"Correlation_GeneBody_DEGs","Pearson_pvalue","9.76e-10"
"Correlation_GeneBody_DEGs","Spearman_rho","0.1545"
"Correlation_GeneBody_DEGs","Spearman_pvalue","1.04e-09"
"DMR_Enrichment","DEGs_with_any_DMR","2250"
"DMR_Enrichment","DEGs_without_DMR","5331"
"DMR_Enrichment","NonDEGs_with_any_DMR","7038"
"DMR_Enrichment","NonDEGs_without_DMR","19349"
"DMR_Enrichment","Pct_DEGs_with_DMR","29.7%"
"DMR_Enrichment","Pct_NonDEGs_with_DMR","26.7%"
"DMR_Enrichment","Fisher_OR","1.16"
"DMR_Enrichment","Fisher_pvalue","2.65e-07"
"DMR_Enrichment","Fisher_95CI_low","1.096"
"DMR_Enrichment","Fisher_95CI_high","1.228"
"Promoter_DMR_Enrichment","DEGs_with_promoter_DMR","710"
"Promoter_DMR_Enrichment","DEGs_without_promoter_DMR","6871"
"Promoter_DMR_Enrichment","NonDEGs_with_promoter_DMR","2572"
"Promoter_DMR_Enrichment","NonDEGs_without_promoter_DMR","23815"
"Promoter_DMR_Enrichment","Pct_DEGs_with_promoter_DMR","9.4%"
"Promoter_DMR_Enrichment","Pct_NonDEGs_with_promoter_DMR","9.7%"
"Promoter_DMR_Enrichment","Fisher_OR","0.957"
"Promoter_DMR_Enrichment","Fisher_pvalue","3.32e-01"
