"seqnames","start","end","width","strand","chr","CpG_count","mean_group1","mean_group2","logFC","logCPM","PValue","FDR","fold_change","annotation","geneChr","geneStart","geneEnd","geneLength","geneStrand","geneId","transcriptId","distanceToTSS","ENSEMBL","SYMBOL","GENENAME","contrast","direction"
"chr1",821501,822000,500,"*","1",5,9.5,0.5,3.31257276996096,0.65163979626931,0.00131623893545857,0.0468148723918073,9.93536362660424,"Intron (ENST00000635509.2/105378947, intron 1 of 3)",1,825138,849592,24455,1,"643837","ENST00000624927.3",-3138,"ENSG00000228794","LINC01128","long intergenic non-protein coding RNA 1128","TES_vs_GFP","Hypermethylated"
"chr1",902501,903000,500,"*","1",24,8.5,0,5.80256372923548,0.487506244203019,0.000122434812863589,0.0161166266587933,55.8143323713231,"Promoter (1-2kb)",1,904834,914971,10138,1,"284600","ENST00000715285.1",-1834,NA,"LOC284600","uncharacterized LOC284600","TES_vs_GFP","Hypermethylated"
"chr1",905501,906000,500,"*","1",22,8.5,0,5.80256372923548,0.487506244203019,0.000122434812863589,0.0161166266587933,55.8143323713231,"Intron (ENST00000715285.1/284600, intron 1 of 2)",1,904834,915976,11143,1,"284600","ENST00000607769.1",667,NA,"LOC284600","uncharacterized LOC284600","TES_vs_GFP","Hypermethylated"
"chr1",921501,922000,500,"*","1",17,14.5,0,6.56235804444727,1.04745623379061,1.56265897485917e-06,0.00219386767048579,94.5075737067758,"Promoter (1-2kb)",1,916870,919692,2823,2,"100130417","ENST00000417705.1",-1809,"ENSG00000223764","LINC02593","long intergenic non-protein coding RNA 2593","TES_vs_GFP","Hypermethylated"
"chr1",923001,923500,500,"*","1",18,7,0,5.52800989357782,0.305604413450195,0.000489338337760718,0.0281127206952951,46.1420403141692,"Promoter (<=1kb)",1,923923,944574,20652,1,"148398","ENST00000616016.5",-423,"ENSG00000187634","SAMD11","sterile alpha motif domain containing 11","TES_vs_GFP","Hypermethylated"
"chr1",926001,926500,500,"*","1",22,11,0,6.16862210026361,0.747113095979326,7.6636617514305e-05,0.0141666089873896,71.9350059884808,"Promoter (<=1kb)",1,925942,944153,18212,1,"148398","ENST00000622503.5",59,"ENSG00000187634","SAMD11","sterile alpha motif domain containing 11","TES_vs_GFP","Hypermethylated"
"chr1",950001,950500,500,"*","1",15,18,0.5,4.23070528957654,1.32988372849904,9.80923051194281e-07,0.00164935056838596,18.7745352418892,"Intron (ENST00000327044.7/26155, intron 12 of 18)",1,944204,947060,2857,2,"26155","ENST00000483767.5",-2941,"ENSG00000188976","NOC2L","NOC2 like nucleolar associated transcriptional repressor","TES_vs_GFP","Hypermethylated"
"chr1",957001,957500,500,"*","1",15,9,0,5.88358056434996,0.543257235331859,6.12454862800645e-05,0.0135727932641176,59.0383527765292,"Exon (ENST00000327044.7/26155, exon 3 of 19)",1,944205,958458,14254,2,"26155","ENST00000477976.5",958,"ENSG00000188976","NOC2L","NOC2 like nucleolar associated transcriptional repressor","TES_vs_GFP","Hypermethylated"
"chr1",1039501,1040000,500,"*","1",15,7,0,5.52817023650601,0.30631690888951,0.000493924006240707,0.0281127206952951,46.1471688831349,"Intron (ENST00000379370.7/375790, intron 3 of 35)",1,1034867,1041397,6531,1,"375790","ENST00000469403.1",4634,"ENSG00000188157","AGRN","agrin","TES_vs_GFP","Hypermethylated"
"chr1",1053001,1053500,500,"*","1",20,12.5,0.5,3.70293555456711,0.928894328353149,6.64164227398555e-05,0.0137575259285099,13.0225092304315,"Exon (ENST00000620552.4/375790, exon 36 of 39)",1,1051986,1056112,4127,1,"375790","ENST00000461111.1",1015,"ENSG00000188157","AGRN","agrin","TES_vs_GFP","Hypermethylated"
"chr1",1086501,1087000,500,"*","1",15,6.5,0,5.42348725001239,0.238625089947341,0.000978324053118296,0.0375689514448215,42.9172951975757,"Intron (ENST00000379339.5/54991, intron 8 of 11)",1,1081825,1087636,5812,2,"54991","ENST00000487177.5",636,"ENSG00000131591","C1orf159","chromosome 1 open reading frame 159","TES_vs_GFP","Hypermethylated"
"chr1",1093501,1094000,500,"*","1",14,11,0,6.16862210026361,0.747113095979326,7.6636617514305e-05,0.0141666089873896,71.9350059884808,"Promoter (<=1kb)",1,1090406,1092813,2408,2,"54991","ENST00000427787.5",-688,"ENSG00000131591","C1orf159","chromosome 1 open reading frame 159","TES_vs_GFP","Hypermethylated"
"chr1",1103501,1104000,500,"*","1",13,11.5,0,6.23194830339589,0.796375274818591,4.02566428067273e-05,0.0130507276524771,75.1628727714857,"Intron (ENST00000648183.1/ENST00000648183.1, intron 1 of 1)",1,1082700,1106127,23428,2,"54991","ENST00000379319.5",2127,"ENSG00000131591","C1orf159","chromosome 1 open reading frame 159","TES_vs_GFP","Hypermethylated"
"chr1",1112501,1113000,500,"*","1",16,7.5,0,5.63071459586547,0.370310218892055,0.000648235947292245,0.0341478259220867,49.5466151512634,"Intron (ENST00000379339.5/54991, intron 2 of 11)",1,1081818,1116081,34264,2,"54991","ENST00000379339.5",3081,"ENSG00000131591","C1orf159","chromosome 1 open reading frame 159","TES_vs_GFP","Hypermethylated"
"chr1",1123001,1123500,500,"*","1",18,8.5,0,5.77963878644425,0.485391473302884,0.000737292413285272,0.0369367934192102,54.9344320478737,"Distal Intergenic",1,1087190,1116361,29172,2,"54991","ENST00000475119.5",-6640,"ENSG00000131591","C1orf159","chromosome 1 open reading frame 159","TES_vs_GFP","Hypermethylated"
"chr1",1152501,1153000,500,"*","1",12,10,0.5,3.38538655328875,0.700739250563397,0.00131623893545857,0.0468148723918073,10.4496777907838,"Distal Intergenic",1,1167104,1167198,95,1,"406984","ENST00000384997.3",-14104,"ENSG00000207730","MIR200B","microRNA 200b","TES_vs_GFP","Hypermethylated"
"chr1",1207501,1208000,500,"*","1",21,8,0,5.71283930467906,0.428034506946894,0.000314138523828618,0.0242410264927834,52.4488525213141,"Promoter (<=1kb)",1,1203508,1206592,3085,2,"8784","ENST00000379268.7",-909,"ENSG00000186891","TNFRSF18","TNF receptor superfamily member 18","TES_vs_GFP","Hypermethylated"
"chr1",1223001,1223500,500,"*","1",32,10,0,6.0331590920122,0.649917396564748,0.000275611652311248,0.0221995249485186,65.4880193024474,"Promoter (1-2kb)",1,1216932,1221351,4420,2,"51150","ENST00000494748.1",-1650,"ENSG00000078808","SDF4","stromal cell derived factor 4","TES_vs_GFP","Hypermethylated"
