"seqnames","start","end","width","strand","chr","CpG_count","mean_group1","mean_group2","logFC","logCPM","PValue","FDR","fold_change","annotation","geneChr","geneStart","geneEnd","geneLength","geneStrand","geneId","transcriptId","distanceToTSS","ENSEMBL","SYMBOL","GENENAME","contrast","direction"
"chr1",902501,903000,500,"*","1",24,8.5,0,5.80256372923548,0.487506244203019,0.000122434812863589,0.0161166266587933,55.8143323713231,"Promoter (1-2kb)",1,904834,914971,10138,1,"284600","ENST00000715285.1",-1834,NA,"LOC284600","uncharacterized LOC284600","TES_vs_GFP","Hypermethylated"
"chr1",921501,922000,500,"*","1",17,14.5,0,6.56235804444727,1.04745623379061,1.56265897485917e-06,0.00219386767048579,94.5075737067758,"Promoter (1-2kb)",1,916870,919692,2823,2,"100130417","ENST00000417705.1",-1809,"ENSG00000223764","LINC02593","long intergenic non-protein coding RNA 2593","TES_vs_GFP","Hypermethylated"
"chr1",923001,923500,500,"*","1",18,7,0,5.52800989357782,0.305604413450195,0.000489338337760718,0.0281127206952951,46.1420403141692,"Promoter (<=1kb)",1,923923,944574,20652,1,"148398","ENST00000616016.5",-423,"ENSG00000187634","SAMD11","sterile alpha motif domain containing 11","TES_vs_GFP","Hypermethylated"
"chr1",926001,926500,500,"*","1",22,11,0,6.16862210026361,0.747113095979326,7.6636617514305e-05,0.0141666089873896,71.9350059884808,"Promoter (<=1kb)",1,925942,944153,18212,1,"148398","ENST00000622503.5",59,"ENSG00000187634","SAMD11","sterile alpha motif domain containing 11","TES_vs_GFP","Hypermethylated"
"chr1",1093501,1094000,500,"*","1",14,11,0,6.16862210026361,0.747113095979326,7.6636617514305e-05,0.0141666089873896,71.9350059884808,"Promoter (<=1kb)",1,1090406,1092813,2408,2,"54991","ENST00000427787.5",-688,"ENSG00000131591","C1orf159","chromosome 1 open reading frame 159","TES_vs_GFP","Hypermethylated"
"chr1",1207501,1208000,500,"*","1",21,8,0,5.71283930467906,0.428034506946894,0.000314138523828618,0.0242410264927834,52.4488525213141,"Promoter (<=1kb)",1,1203508,1206592,3085,2,"8784","ENST00000379268.7",-909,"ENSG00000186891","TNFRSF18","TNF receptor superfamily member 18","TES_vs_GFP","Hypermethylated"
"chr1",1223001,1223500,500,"*","1",32,10,0,6.0331590920122,0.649917396564748,0.000275611652311248,0.0221995249485186,65.4880193024474,"Promoter (1-2kb)",1,1216932,1221351,4420,2,"51150","ENST00000494748.1",-1650,"ENSG00000078808","SDF4","stromal cell derived factor 4","TES_vs_GFP","Hypermethylated"
"chr1",1229001,1229500,500,"*","1",23,13,0,6.40663302586395,0.927882739105638,1.1118584924623e-05,0.00674353514489981,84.8376660042397,"Promoter (<=1kb)",1,1218523,1228596,10074,2,"51150","ENST00000403997.2",-405,"ENSG00000078808","SDF4","stromal cell derived factor 4","TES_vs_GFP","Hypermethylated"
"chr1",1258001,1258500,500,"*","1",15,8.5,0,5.80260209388105,0.488917578437063,0.000122434812863589,0.0161166266587933,55.8158166250911,"Promoter (1-2kb)",1,1255264,1256335,1072,2,"118424","ENST00000467339.1",-1666,"ENSG00000160087","UBE2J2","ubiquitin conjugating enzyme E2 J2","TES_vs_GFP","Hypermethylated"
"chr1",1264501,1265000,500,"*","1",11,6.5,0,5.42348725001239,0.238625089947341,0.000978324053118296,0.0375689514448215,42.9172951975757,"Promoter (<=1kb)",1,1257122,1263569,6448,2,"118424","ENST00000471154.1",-932,"ENSG00000160087","UBE2J2","ubiquitin conjugating enzyme E2 J2","TES_vs_GFP","Hypermethylated"
"chr1",1265001,1265500,500,"*","1",13,10,0,6.02444022106032,0.647821287311478,6.0517699078967e-05,0.0135727932641176,65.0934385413842,"Promoter (1-2kb)",1,1257122,1263569,6448,2,"118424","ENST00000471154.1",-1432,"ENSG00000160087","UBE2J2","ubiquitin conjugating enzyme E2 J2","TES_vs_GFP","Hypermethylated"
"chr1",1265501,1266000,500,"*","1",15,8.5,0,5.80258291143102,0.488211762484959,0.000122434812863589,0.0161166266587933,55.8150744883507,"Promoter (1-2kb)",1,1257122,1263569,6448,2,"118424","ENST00000471154.1",-1932,"ENSG00000160087","UBE2J2","ubiquitin conjugating enzyme E2 J2","TES_vs_GFP","Hypermethylated"
"chr1",1282501,1283000,500,"*","1",17,8.5,0,5.80260209388105,0.488917578437063,0.000122434812863589,0.0161166266587933,55.8158166250911,"Promoter (<=1kb)",1,1282164,1285597,3434,1,"6339","ENST00000467651.2",337,"ENSG00000162572","SCNN1D","sodium channel epithelial 1 subunit delta","TES_vs_GFP","Hypermethylated"
"chr1",1329501,1330000,500,"*","1",35,12,0,6.29222985045081,0.83928763663802,2.20039311732865e-05,0.00970653262506794,78.3700140447148,"Promoter (1-2kb)",1,1331280,1335314,4035,1,"83756","ENST00000339381.6",-1280,"ENSG00000169962","TAS1R3","taste 1 receptor member 3","TES_vs_GFP","Hypermethylated"
"chr1",1341001,1341500,500,"*","1",28,15,0.5,3.97766982191809,1.12687308561639,3.18710665526586e-05,0.0126594715428871,15.7542571228136,"Promoter (<=1kb)",1,1339492,1340365,874,2,"1855","ENST00000633096.1",-636,"ENSG00000107404","DVL1","dishevelled segment polarity protein 1","TES_vs_GFP","Hypermethylated"
"chr1",1477501,1478000,500,"*","1",24,9,0,5.8562267694219,0.541149310941737,0.000504911318501249,0.0285562034538437,57.9295185362666,"Promoter (<=1kb)",1,1478026,1497848,19823,1,"83858","ENST00000472194.6",-26,"ENSG00000160072","ATAD3B","ATPase family AAA domain containing 3B","TES_vs_GFP","Hypermethylated"
"chr1",1484001,1484500,500,"*","1",26,12.5,1,2.8228532052034,0.970221034545689,0.000490499132599675,0.0281127206952951,7.07560350054167,"Promoter (<=1kb)",1,1484569,1496201,11633,1,"83858","ENST00000474481.1",-69,"ENSG00000160072","ATAD3B","ATPase family AAA domain containing 3B","TES_vs_GFP","Hypermethylated"
"chr1",1503501,1504000,500,"*","1",16,6.5,0,5.42350643738492,0.239339635581939,0.000978324053118296,0.0375689514448215,42.9178659873708,"Promoter (<=1kb)",1,1503582,1509351,5770,1,"83858","ENST00000641679.1",0,"ENSG00000160072","ATAD3B","ATPase family AAA domain containing 3B","TES_vs_GFP","Hypermethylated"
"chr1",1504001,1504500,500,"*","1",15,6.5,0,5.42350643738492,0.239339635581939,0.000978324053118296,0.0375689514448215,42.9178659873708,"Promoter (<=1kb)",1,1503582,1509351,5770,1,"83858","ENST00000641679.1",419,"ENSG00000160072","ATAD3B","ATPase family AAA domain containing 3B","TES_vs_GFP","Hypermethylated"
"chr1",1521501,1522000,500,"*","1",19,6.5,0,5.4234680628946,0.23791085666537,0.000978324053118296,0.0375689514448215,42.9167244229497,"Promoter (1-2kb)",1,1523955,1534142,10188,1,"55210","ENST00000400830.4",-1955,"ENSG00000197785","ATAD3A","ATPase family AAA domain containing 3A","TES_vs_GFP","Hypermethylated"
"chr1",1547501,1548000,500,"*","1",25,9.5,0,5.95540769310079,0.596175940457646,8.90046619973569e-05,0.01559412835906,62.0520811861431,"Promoter (1-2kb)",1,1541674,1546487,4814,2,"29101","ENST00000378726.1",-1014,"ENSG00000160075","SSU72","SSU72 homolog, RNA polymerase II CTD phosphatase","TES_vs_GFP","Hypermethylated"
"chr1",1671501,1672000,500,"*","1",20,6.5,0,5.4234680628946,0.23791085666537,0.000978324053118296,0.0375689514448215,42.9167244229497,"Promoter (1-2kb)",1,1663782,1670139,6358,2,"728661","ENST00000480991.1",-1362,"ENSG00000189339","SLC35E2B","solute carrier family 35 member E2B","TES_vs_GFP","Hypermethylated"
"chr1",1757001,1757500,500,"*","1",21,7,0,5.52800989357782,0.305604413450195,0.000489338337760718,0.0281127206952951,46.1420403141692,"Promoter (<=1kb)",1,1754061,1757268,3208,2,"65220","ENST00000469045.5",0,"ENSG00000008130","NADK","NAD kinase","TES_vs_GFP","Hypermethylated"
"chr1",1789001,1789500,500,"*","1",18,17.5,1,3.3031762400232,1.32754556368798,1.96670951216028e-05,0.00958240475830527,9.87086311218092,"Promoter (<=1kb)",1,1785317,1788444,3128,2,"2782","ENST00000703698.1",-557,"ENSG00000078369","GNB1","G protein subunit beta 1","TES_vs_GFP","Hypermethylated"
"chr1",1789501,1790000,500,"*","1",10,6.5,0,5.42348725001239,0.238625089947341,0.000978324053118296,0.0375689514448215,42.9172951975757,"Promoter (1-2kb)",1,1785317,1788444,3128,2,"2782","ENST00000703698.1",-1057,"ENSG00000078369","GNB1","G protein subunit beta 1","TES_vs_GFP","Hypermethylated"
"chr1",1840501,1841000,500,"*","1",6,8,0,5.71674327807608,0.430157080807857,0.000244765370137364,0.0217239916706777,52.5909727968451,"Promoter (1-2kb)",1,1785285,1839238,53954,2,"2782","ENST00000615252.5",-1263,"ENSG00000078369","GNB1","G protein subunit beta 1","TES_vs_GFP","Hypermethylated"
"chr1",1841001,1841500,500,"*","1",10,14,0,6.51234278714247,1.009412503446,3.03495910293324e-06,0.00332277228902671,91.2873333823413,"Promoter (1-2kb)",1,1785285,1839238,53954,2,"2782","ENST00000615252.5",-1763,"ENSG00000078369","GNB1","G protein subunit beta 1","TES_vs_GFP","Hypermethylated"
"chr1",2132001,2132500,500,"*","1",20,8,0,5.71672409452293,0.429449255101963,0.000244765370137364,0.0217239916706777,52.5902734979735,"Promoter (1-2kb)",1,2133638,2148924,15287,1,"5590","ENST00000471018.6",-1138,"ENSG00000067606","PRKCZ","protein kinase C zeta","TES_vs_GFP","Hypermethylated"
"chr1",2201001,2201500,500,"*","1",16,6.5,0,5.42348725001239,0.238625089947341,0.000978324053118296,0.0375689514448215,42.9172951975757,"Promoter (1-2kb)",1,2189548,2199907,10360,2,"199990","ENST00000401813.7",-1094,"ENSG00000162585","FAAP20","FA core complex associated protein 20","TES_vs_GFP","Hypermethylated"
"chr1",2201501,2202000,500,"*","1",16,9,0,5.88358056434996,0.543257235331859,6.12454862800645e-05,0.0135727932641176,59.0383527765292,"Promoter (1-2kb)",1,2189548,2199907,10360,2,"199990","ENST00000401813.7",-1594,"ENSG00000162585","FAAP20","FA core complex associated protein 20","TES_vs_GFP","Hypermethylated"
"chr1",2303001,2303500,500,"*","1",25,6.5,0,5.4234680628946,0.23791085666537,0.000978324053118296,0.0375689514448215,42.9167244229497,"Promoter (<=1kb)",1,2303646,2304368,723,1,"6497","ENST00000507179.1",-146,"ENSG00000157933","SKI","SKI proto-oncogene","TES_vs_GFP","Hypermethylated"
"chr1",2388001,2388500,500,"*","1",20,16.5,0,6.73859295553881,1.19104174398381,8.92552593043608e-07,0.00154112787687165,106.787054653815,"Promoter (<=1kb)",1,2374853,2388337,13485,2,"79906","ENST00000449373.2",0,"ENSG00000116151","MORN1","MORN repeat containing 1","TES_vs_GFP","Hypermethylated"
"chr1",2515001,2515500,500,"*","1",23,10,0.5,3.38542518446527,0.702128020350724,0.00131623893545857,0.0468148723918073,10.4499576065042,"Promoter (<=1kb)",1,2514413,2515937,1525,2,"55229","ENST00000515423.1",437,"ENSG00000157881","PANK4","pantothenate kinase 4 (inactive)","TES_vs_GFP","Hypermethylated"
"chr1",2515501,2516000,500,"*","1",26,9.5,0,5.96030695057071,0.597577564545811,0.000275611652311248,0.0221995249485186,62.2631624553881,"Promoter (<=1kb)",1,2514413,2515937,1525,2,"55229","ENST00000515423.1",0,"ENSG00000157881","PANK4","pantothenate kinase 4 (inactive)","TES_vs_GFP","Hypermethylated"
"chr1",2516501,2517000,500,"*","1",12,7.5,0,5.62547017957618,0.369599762416403,0.000489338337760718,0.0281127206952951,49.366832622456,"Promoter (<=1kb)",1,2514413,2515937,1525,2,"55229","ENST00000515423.1",-564,"ENSG00000157881","PANK4","pantothenate kinase 4 (inactive)","TES_vs_GFP","Hypermethylated"
"chr1",2517001,2517500,500,"*","1",19,7.5,0,5.62545099466521,0.368889611069903,0.000489338337760718,0.0281127206952951,49.3661761483124,"Promoter (1-2kb)",1,2514413,2515937,1525,2,"55229","ENST00000515423.1",-1064,"ENSG00000157881","PANK4","pantothenate kinase 4 (inactive)","TES_vs_GFP","Hypermethylated"
"chr1",2520501,2521000,500,"*","1",18,11.5,0,6.23189077894543,0.794296652710838,4.02566428067273e-05,0.0130507276524771,75.1598758687237,"Promoter (<=1kb)",1,2508795,2520901,12107,2,"55229","ENST00000505228.5",0,"ENSG00000157881","PANK4","pantothenate kinase 4 (inactive)","TES_vs_GFP","Hypermethylated"
